Time (ms),3xAA,4xAA,2xAA,Time (minutes),3xAA (V),4xAA (V),2xAA (V)
1380360,967,793,740,23.006,4.7216796875,3.8720703125,3.61328125
1385361,967,793,738,23.08935,4.7216796875,3.8720703125,3.603515625
1390362,966,792,737,23.1727,4.716796875,3.8671875,3.5986328125
1395363,966,791,737,23.25605,4.716796875,3.8623046875,3.5986328125
1400366,966,792,738,23.3394333333,4.716796875,3.8671875,3.603515625
1405367,966,792,737,23.4227833333,4.716796875,3.8671875,3.5986328125
1410368,966,792,738,23.5061333333,4.716796875,3.8671875,3.603515625
1415369,965,792,779,23.5894833333,4.7119140625,3.8671875,3.8037109375
1420370,965,792,771,23.6728333333,4.7119140625,3.8671875,3.7646484375
1425372,965,791,737,23.7562,4.7119140625,3.8623046875,3.5986328125
1430373,965,791,737,23.83955,4.7119140625,3.8623046875,3.5986328125
1435374,964,791,737,23.9229,4.70703125,3.8623046875,3.5986328125
1440375,965,791,770,24.00625,4.7119140625,3.8623046875,3.759765625
1445377,965,791,736,24.0896166667,4.7119140625,3.8623046875,3.59375
1450379,965,791,765,24.1729833333,4.7119140625,3.8623046875,3.7353515625
1455380,964,790,735,24.2563333333,4.70703125,3.857421875,3.5888671875
1460381,963,791,736,24.3396833333,4.7021484375,3.8623046875,3.59375
1465382,964,790,736,24.4230333333,4.70703125,3.857421875,3.59375
1470384,964,790,743,24.5064,4.70703125,3.857421875,3.6279296875
1475385,963,790,737,24.58975,4.7021484375,3.857421875,3.5986328125
1480386,963,789,736,24.6731,4.7021484375,3.8525390625,3.59375
1485387,963,790,736,24.75645,4.7021484375,3.857421875,3.59375
1490388,963,789,736,24.8398,4.7021484375,3.8525390625,3.59375
1495391,963,789,736,24.9231833333,4.7021484375,3.8525390625,3.59375
1500392,963,790,770,25.0065333333,4.7021484375,3.857421875,3.759765625
1505393,963,790,744,25.0898833333,4.7021484375,3.857421875,3.6328125
1510394,963,790,736,25.1732333333,4.7021484375,3.857421875,3.59375
1515396,962,789,774,25.2566,4.697265625,3.8525390625,3.779296875
1520397,962,789,735,25.33995,4.697265625,3.8525390625,3.5888671875
1525398,961,788,736,25.4233,4.6923828125,3.84765625,3.59375
1530399,961,789,736,25.50665,4.6923828125,3.8525390625,3.59375
1535400,961,788,735,25.59,4.6923828125,3.84765625,3.5888671875
1540403,961,788,775,25.6733833333,4.6923828125,3.84765625,3.7841796875
1545404,960,789,765,25.7567333333,4.6875,3.8525390625,3.7353515625
1550405,961,788,773,25.8400833333,4.6923828125,3.84765625,3.7744140625
1555406,961,789,735,25.9234333333,4.6923828125,3.8525390625,3.5888671875
1560408,961,788,735,26.0068,4.6923828125,3.84765625,3.5888671875
1565409,961,788,735,26.09015,4.6923828125,3.84765625,3.5888671875
1570410,960,787,735,26.1735,4.6875,3.8427734375,3.5888671875
1575411,960,788,735,26.25685,4.6875,3.84765625,3.5888671875
1580412,960,788,770,26.3402,4.6875,3.84765625,3.759765625
1585414,960,787,734,26.4235666667,4.6875,3.8427734375,3.583984375
1590416,960,788,771,26.5069333333,4.6875,3.84765625,3.7646484375
1595417,960,787,734,26.5902833333,4.6875,3.8427734375,3.583984375
1600418,959,787,735,26.6736333333,4.6826171875,3.8427734375,3.5888671875
1605420,959,787,776,26.757,4.6826171875,3.8427734375,3.7890625
